ulevel,comment,score,uname,uid
4,内心很震撼，从女主身上学到勇气，结局很满意，猫猫拯救世界,10,这还玩嘛玩,2123574970
4,好看,10,术殇,349686228
4,好,10,哇噢噢噢噢哦哦哦,1026919654
4,无敌,10,橙滋润orange,1606365419
4,赞,10,bili_3476761,503586685
5,9.8还是太高了，优缺点都很明显。画面音乐剪辑nb确实没的说，但人设和剧情有些地方真的很离谱太突兀了吧，还有这么一搞我真的对猫咪不是很喜欢，可能是因为自己本来就很讨厌熊孩子，个人认为7～8分比较合适。,4,月刊勇者咸鱼君,161827598
6,大臣啊啊啊啊啊啊啊啊啊啊啊 男女主为什么不双死啊 受不了了 猫猫又干错了什么啊啊啊啊啊啊,2,我永远单推神奇陆妈妈,12672477
5,个人评价超过《天气之子》，但台词真的还是有点欠打磨。,8,Sknowt,102633405
5,花了98去电影院看的，只能说中规中矩,6,御坂510号,457115556
5,画面、配音等的“软实力”说得过去，剧情、分镜等的“硬实力”是完全看不下去。,4,利威尔阶下囚,156518327
5,9.8 太高了 画面依旧一流 没得说 但是和以往剧情比 差点意思,2,执着的手术刀,242584772
6,新海诚的上限也太低了，偏偏其他技能点又全部点满，真的很难不让人对他抱有期待。看过这部之后基本明白了，动画届也有自己的于正，专做精致的巧克力味粑粑。新海诚站在山脚，仰望山巅的宫崎骏，叹了口气，果然有些是,2,硕儿imsure,341030670
5,剧情真的有点撑不住，给两分画面和配乐吧,4,首阳廿伍,85435960
5,赞,10,天增岁月人增肉74751,219888325
5,在电影院看的 当时配上音效 非常震撼,10,这厮没有钱,484126733
5,特别喜欢,10,iwdffet一只黑,470289494
5,这剧情，看了跟没看一样,2,唯ーぺ,321369531
6,画质和场景构造第一梯队没得说，但是剧情是不是有点令人惊奇？？1莫名喜欢上了一个陌生人，因为对面是帅哥吗？2和那爷爷对话，“没有草太先生的世界好可怕”，让人全程？？3为什么就偷偷亲别人了（凳子）？,4,墨迹包子,174974598
5,好看，爱看,10,花雨丶噬血,349635581
5,不错啊,10,-爱吃鱼的修狗-,378120088
5,一如既往,10,小周同学爱唱歌,1982330541
4,只能说期望太大，优缺点都挺明显的。,8,zero伍柒柒玖,1805053264
5,好看是好看但是比不上之前的作品,6,刘某套你猴子,527026728
6,9.8？,4,sasukeiiiii,51044674
4,满分,10,御殿翎琉璃,1760620946
4,想了很多，但不足以表达，唯有喜欢二字，能表达一二,10,归尘之终,515975712
6,特别甜，特别好,10,零临后,436532177
5,一般,6,看海xr,34930426
6,好！,10,二刺猿李丛宇,477079146
4,见了一面就爱得死去活来？,6,蓝白天隙,110058143
6,理解不了剧情，只看到了一个见色起意的叛逆女孩一意孤行，脑子里除了那个那个男的外的一切人对她的关心都像是史一样被她嫌弃。唯一值得赞叹的就是她的行为差点毁灭日本吧。,2,火箭炮魔,302416245
5,真的想不到评分能这么高，跟追繁一样的套路但观感而言追繁要超过铃芽，两个女主都是不明不白的踏上旅程，铃芽进入死界那段也跟追繁的一段非常相似，而且那里有段哭了又笑的剧情真的忍不了，时间也久了模糊的就不提了,4,不动之奥森,513894632
5,在玩儿就是嘎嘎好看，虽然剧情稍微有点槽点，但是不妨碍我就是看主角的,10,从细狗变成猛男,599145607
5,先致郁后治愈,6,画个小羽毛,252317974
4,期待下一个三年之约,10,栗花落栗花落,1146123823
6,好看,10,人生也逍遥,175988548
6,画面很美。,8,CloudsCollector,98324126
6,很好,10,终极斯卡蒂单推人,25743888
5,好看捏,10,蕉绿的泽,1843276610
5,有泪点,10,万古成空,62251215
5,瑕不掩瑜,8,SKY封,287488589
6,乐,10,苏格忒底,473082765
6,这部作品暴露了新海诚多线叙事的短板，感情戏极其平淡且冗余。,8,Threeoone_,384028106
6,好的地方是真的真的真的很好，但新海诚你被绑架了可以眨眨眼，商业化让你妥协太多了。,8,世羽言,13068194
5,超级喜欢，比天气还喜欢的那种。感情线雀实快啦，但是对灾难对生命的思考都很戳，草太他俩的战友情也很戳我，而且最后很直接地说我回去找你的，我真的超级开心！,10,-Avalon-z,1153833848
5,',10,Executioner_,350631948
5,真的很不错！,10,浅光official,12854835
5,太好看了,10,难言的轻语,88118297
5,个人看完了一遍，只能说没有《天气之子》给我带来震撼的感觉了,6,_沄落_,374835939
6,情感爆发太扎眼了,4,浅倉花火,39163125
6,emm,2,喃哒过咧啊,944006
6,很赞,10,又是六枚硬币-6,271579539
5,好看捏,10,身处雨落的黄昏,453110581
5,真好啊,10,起名真难呀你,527943242
5,震撼 好看 类目,10,深影YY,30179281
6,1,10,无上限的淡蓝,1903334
5,随手关门好习惯,10,laterstayrx,550557925
4,不适合那种无底线爱猫人士看，这是神作,10,sigamic,277638392
5,RADWIMPS的情绪音乐非常到位。逻辑不足、篇幅较短并不影响观众情绪的代入，并不影响由暗恋的简单情感到安抚灾后幸存者的立意提升。结尾超越时空的自我拯救，使得这部影片完全值得二周目。观影享受才是真谛。,10,op__ened,559726044
4,好,10,什千千,652181451
6,好看好看,10,ロイ・マスタング,376700355
6,棒棒棒,10,狼小茗,72357555
6,剧情表现和人物形象塑造乏善可陈而敷衍......新海诚最大的优点还是只有精致的画面。,6,Zzzz3Zzz,39495930
4,太好看了,10,汐星河沫皓月,355901744
5,好看。一切美好的事物终将归来，一切痛苦的记忆也会远去，就像溪水净化自己，枯树绽出新芽。但是黎明终会到来，你会在阳光之下长大成人，未来一定会是这样的，因为那已经是注定好的事了。,10,SPEAK-STAR,1556497980
4,好好好,10,弧度的第五,2129703852
5,你的门子,10,V浅独白,383460864
5,这为啥9.8,4,静峰惠璃,510467016
6,看不懂，什么乱七八糟的啊，音乐和特效还是不错的了，商业化很严重，故事剧情很老套，开头猜到结局，没有很大的吸引力，而且叙述的很乱，男女主感情线很奇怪，都是跳着看，9.8分？这个怎么来的？刷上去的？,2,园小园you,15502249
5,画质愈来愈好，剧情……音乐好听。,6,我燃起来了纳兹,450709223
4,9.8？,4,平凡人士中的靓仔,1640343745
6,比起诚哥之前的作品确实差了点，但总的来说算是中上水平吧，主要还是诚哥发挥太稳定了，冲着画面配乐都值得一看,8,回憶往昔_,2108594
5,给猫的,10,五条悟的女朋友,379831538
5,gd,10,吴才远见,478925652
5,总体很好，但是有些地方还不太理解，比如说那段“我很害怕”那段（？）,8,loser_QAQ,560096617
5,很不错的作品，第一次完整的看完，看着之类的动漫，一定要静下心来看的。,10,浩宸卜苒,335912488
6,很不错，就是有点泪目，太感动了，我先找个地方哭会儿,10,夏沫诺雨,205236675
5,世界不能少了纯爱和猫猫,10,莱丝小姐,323914364
6,感觉像是对震后幸存者的安慰与开解，挺好看的,8,噫噫噫噫丫,4645920
5,画面挺好，但剧情有点勉强,4,致远星难民,323692493
5,在预期之内，想说的话很多，值得五星,10,在下百奇有何贵干,536199829
6,大臣想要自由，男主是个负责任的闭门人，太难选了，要不把我当要石，让他们都自由吧 T~T,10,瓶子能发个,258919817
4,太一般了，感觉比新海诚往常的作品比差太多了,4,RikKaXtoki,519848395
4,好看,10,Pshx,1334609351
6,忘掉过去的痛苦，美好的未来在招手,10,线性走位,387452009
6,这一部，是自己的成长啊,10,平平淡淡老咸鱼,29795493
5,给我9.9,10,小孤独-_-,470314100
4,去电影院看的时候很震撼，立意也挺深的。很幸运可以在那段时间看到这部电影。,10,殊影空灵,1401442397
5,9.8得分不属于这部剧,2,恰糖人牧泽,321617569
5,新海诚想要转型，却又放不下摇钱树作出的四不象,4,jevons1,28669884
5,三年之后见,10,sjala,226835145
5,好好好,10,浅揽月,502104297
4,还行把，就是大臣这个角色感觉崩了，但这配乐真的满分。,10,慎虚仔,33984619
6,一刻都没有为大臣感到悲伤，女主和男主快乐地谈起了恋爱,2,奶黄包骑士,2008047
6,不充实就会显得很浮夸,2,上木彡糸会梨衣,44066141
5,1,10,SMODG,310817591
5,很棒,10,七年似尘埃aa,22347863
5,我出门了,10,某物奇才,1359984882
6,大臣真的好可怜(இдஇ; ),6,2049年,36476251
6,不太喜欢，但质量真的很好，给三星,6,炸弹豆豆,5572398
6,1,10,黄先生打怪兽,63272081
6,666,10,四块腹肌哒肥宅,20807631
4,.,10,sasa_cyx,1500796299
5,~,10,爱吃铜锣烧的文宇思语,1309862112
5,.,10,云田代川,209028330
5,挺好的,10,真的真的讨厌芒果,172812155
5,真不错 国语真不错！期待越来越好的配音。,8,是我归流哒,388973899
5,一般,2,雪中智代待死gi,688323200
6,三星给作画,6,会唠嗑的乌鸦,12406110
6,已阅,10,淼Hurley,38213179
6,新海诚的画风一如既往的精美，本作的内核还是女主和过去的和解吧，心疼猫猫！₍˄·͈༝·͈˄*₎◞ ̑̑,10,黑丶月光,85810808
5,一名少女的自我救赎之旅。,10,---超绝最可爱天使酱---,470330996
6,夸张的关门特效，以及无法让人代入的种种奇异。可能是我的问题，带入不了一点，看不下去。,6,翘首远望,52844214
5,和前女友一起看的第一部电影,10,LMSC,509721249
4,虽然不知道为什么有这么多恶评，但是这部电影我觉得就已经很成功了,10,杨小羊哥,1121049407
5,画面还是一如既往的棒！点赞！感觉这部的自我救赎比感情线讲的更好，感觉有些不符合期待吧……但水平还是在线的,8,马路边的太君,675340140
6,剧情和感情过于跳跃，很多地方有些刻意的转变？新海诚的作品个人还是最喜欢秒速五厘米吧,6,H--T_T,305786816
4,很好的电影，后悔没去电影院看了。但看完我就知道电影一定会有争议。争议点无非就几种：女主恋爱脑什么的，还有说什么把男主和女主都变成要石的…我觉得女主做事都有动机和铺垫啊，在小说里应该会有更多的细节,10,梁梦群,1635298327
4,画面挺好看，剧情……,4,阿沐um,1090136780
4,没意思,2,相里炎炎,386794678
5,好,10,tcxzbtz,589945298
6,以前在影院看完新海诚的电影都想看第二遍，而这部我却完全没有这个冲动，爱情线删掉可能观感好一点,6,令和の带恶人-飞羽真,246536553
5,经历了天气之子的神作之后，对新海诚赞不绝口，满心期待的和朋友一起起电影院看完，出来直说恶心，全作女主一路花痴犯蠢,4,Gooseぃ,267434768
6,一般般吧,6,edanml,1656546
5,给人以震撼和力量！,10,尼玛自己人,40499322
6,不错,10,星奏翎_Takara,78010196
4,我很喜欢很喜欢很喜欢,10,这梦取名晚安,438565134
5,二刷，希望有机会重映，真的想去电影院里看一次,10,十五月的风,670937342
5,说实话就创新方面来说可以了，涉及的情感关系感悟很多，碍于时长都没能展开说详细，就给人一种印象浅薄的感觉，我是觉得真挺好的，对于小日子来说不局限于爱情就已经是一大进步了,10,我㲌䮻,499316235
5,很喜欢,10,亭阁流觞,62047392
5,剧情一般,6,长止草,526348224
5,有一点小瑕疵，但也没有影院刚上映是说的那么难堪,8,影汀せつな,399198324
5,感情缺陷神经少女的神经质恋爱脑之旅……,2,潜水de双鱼,133365968
5,没有诚哥的电影世界会是怎么样的呢，无法想象......,10,芩悟鸭,1529598932
5,新海诚的电影还那么的好看,10,冷眸残情z,251102079
6,全程无尿点..好评hh,10,麻辣柠檬红茶,227426521
5,在真正亲身去体会这部新海诚的新作之前，受网络舆论影响，我一直是持怀疑态度的看完全片后，我才深刻的明白这部电影中微妙、复杂的情感，值得五星!奈何文笔有限，难以表真心,10,酷酷的晓宇昼,610549232
5,剧情真配不上9.8,4,Goodenough-ZD,1024290841
4,和前女友一起去的，现在分了,10,是七下か,646382666
5,挺好的,10,荻花花超可爱,433604456
6,莫名其妙的两个人,2,葱油味棉花糖,307414643
5,额，前两天刷完的铃芽之旅，还是来B站评分这来打个卡吧。感觉这电影有点过誉了吧~,6,JerryTH,43910595
4,6,10,我是一块地瓜,481981131
6,好看，爱看，下次还看,10,一只邱某,82132644
5,第一遍看起来不是很懂，不过画面依旧是原来的味道,2,路哥Y6,388202718
5,恋爱佬可以不看。,10,终极大魔王-,1192447386
6,纯听歌了,4,夹击妹抖ぴ,36016785
5,拉低了前面的水平,4,天降小月宝,502552224
6,感觉一般般，男主一意孤行，女主一言难尽。配角很不错，场景很好可以做壁纸。三星不能再多了，评分高了,6,李某最喜欢眼镜妹,26066837
4,真觉得不好看  剧情有点莫名其妙的。,4,V社书,1376661716
5,每一部新海诚的电影我记住的都是女主的身影，无论是繁星还是言叶，还是如今塑造得如此优秀的铃芽，女性角色的复杂性与人物魅力，自我救赎与救赎祂人的极其完整的成长线，还有那如此令人共情的灾后关怀，都写得很好。,10,铃芽之心,2134091516
5,救赎童年,8,是三番丫,1729155609
4,真的佩服!!!我想知道心情已经不可以用语言形容了,10,无聊的人类吧,1803241585
5,很好看,10,然宫神器,326327511
5,仁者见仁，智者见智。,10,hecate_two,347373038
5,当时电影院看一半就走了,2,它知道风从哪里来,512188024
5,迷一样剧情，果然导演只需要拍电影，其他的观众自己会脑补～,2,曲中人未知,600162797
5,.,10,bili_60183990977,1015876436
5,唯美，唯心,8,unknown-creature,629276686
4,很好，内容有点深刻，再过几年可能会懂，但觉得不如前两部。,10,梦麟舞,1417486324
6,诚哥电影画面一贯的好看的，最后的转折也很意料之外又在情理之中。我也想要一个同款猫猫。,10,咕噜仓,99090260
4,真的很好看,10,makemesuffer,34084576
5,一般般,6,初代火影3,174208123
4,9.8？,6,しらせ,1117921815
6,剧情老套到无语的那种，很多剧情都不合理，女主性格也特别离谱，后面就硬来一个大好结局，所有的事情发展都牵强得很，看完没有半点感动，愧对9.8分，所以由我来拉低评分！！！！,2,阿独独,5593045
5,超过期待。,10,追番的pepeliu,8202617
6,不变的日式灾难片,8,青柠清濛,3580290
5,再看一次依旧觉得震撼,10,Suucassi,409584040
6,好看！,10,十二宫丶丶,286637839
5,铃芽之旅居然是在学校看完的TWT,10,蜀雪ovo,532592209
5,第一次喜欢新海诚的电影,10,这天补不了一点,132440810
6,女主太任性，非要去一个地方也不说去哪也不跟身边人解释清楚，疯了一样，认识男主才几天，关了几扇门，就没他会死了，矛盾也好生硬，突然吵架又突然好了，“虽然不清楚但你一定有很重要的事吧~” 啊？？没事吧大家,2,不良半少女,4705297
6,看得有点莫名其妙,6,鲜橙多不多ovo,381384205
5,情感来的太莫名其妙,4,只吃面包边,34380081
5,剧情老套,2,blilbiliHAHA,442397819
5,不如草太单飞，这剧情,2,-chuya丶,1523664162
5,商业化中努力表达的感觉，但是作为一部公路片以及灾难片，我个人认为它达到了很不错的高度。,10,梧砚铎dd,1950073847
5,画面好看，剧情不好看,6,金桔柠檬少糖,375631498
6,也是一部好电影，只是我感觉这部电影想要表达的意义可能有点多，不如天气之子纯粹，所以观感上可能差一点，但确实是一部好电影,10,小陳爱吃土豆,31271438
5,哭成泪人,10,与李共守河山,37199007
4,。,10,葫芦不灵啦,498012954
5,好！,10,MOFEI比企谷,381378505
5,三分给画面和音乐。剧情的逻辑性和无论是与路人和男主的感情描写都很浅显碎片化,6,半杯乌云茶,434089783
5,9.8？,4,江旅老师来了,471619299
4,真的真的非常好看，绝对值得一看，累点低的姐妹记得带上纸巾（○゜ε＾○）,10,雨夜听笛,344694701
6,很感动 很喜欢的电影 很能共情,10,nAgiblve,56823853
5,不好看,2,长道长,341016701
4,好看！！！,10,草没啵啵,639975921
5,难受,2,蠢蠢搞事鬼,440060649
5,就，2个小时不知道看了什么。本来想打4星的，后来感觉真不配,6,远笑,1635334866
5,不明不白的，就一见钟情了？,4,某科学的k-on部,628834757
6,画面可以给满分，感情线没有铺垫感觉还不如不做，剧情只说中等吧，可能是期待太高,6,披萨女CC,499963662
6,好看,10,maomaorx,3974798
6,猫猫有点可惜,10,蛊越-,219579434
6,结尾时，认为爱情这段应该改掉比较好，但看完后回忆全篇，发现玲芽之旅这一路，朋友，陌生人，长辈，都经历过，如果缺了恋人是不太好。可惜就是这部在我个人看来爱情这一块表现的实在不太好。最后自己与自己和解很好,8,你又来到梦中,293965826
6,给人的感觉像是天气之子的好结局版（对于大部分人日本人来说），但感情线写的其实不是很好，男女主的感情缺少铺垫，显得有些过于单薄了,8,夜如渊,10775628
5,结尾哭死我了,10,小蔡要上岸啊,352197106
4,剧情奇奇怪怪，分数全在背景和配音上。,6,初见时的懵懂,49268408
5,111,10,阿尔呵,626988988
6,一般,6,变色鹦鹉,39103044
5,！！！！！！！,10,御坂86,395335146
5,期待下一部,10,GT弦音,403905601
5,好看呢,10,冰箱里的喵大福,354376614
5,难得好看！！,10,爱吃Taco的Jorlen,437990203
6,可以,10,七夜七方,29636672
4,很棒的电影呢,10,清蒸小龙团,3461566122953321
4,观影中...,10,曉問明月,3493135562836477
6,好评,10,wcs0919,13212526
4,三年之约,10,夜月殇别意z,695499266
4,挺棒的,10,城うぉ,437009452
5,我的评价是不如前两部，女主这么爱发癫么？部分剧情让人摸不到头脑,2,凤凰院顶针,14332676
5,妄图用高端的手法掩盖内里剧情叙事的糟粕,4,华丽的涵涵,398912534
6,11111,2,修火灬,12688704
5,没有剧情，全靠画面和配乐,2,拂镜映卿影,1585076736
4,9.8？两星就给画质了,4,从未衰落_何谈复兴,1321126144
5,我看这个电影能够切实感受到灾难来临时大家的害怕和对生的渴望，这才是真正的内涵吧，伴着痛苦恐惧的过去也要迎接美好的未来,10,宝贝越越526,351135001
6,除了感情线有点瑕疵外还可以吧,8,清酒一杯で,16473237
5,瑕不掩瑜，真的可以称得上新海诚集大成之作,10,van尼是德鲁伊,2665819
6,满分,10,冲刺三个月,440304076
5,非常好看,10,JM简墨,700850017
5,.,10,一斗亦未寝,628543668
6,看懂了,10,额额额吃肉肉,90944984
6,看的新海诚的第一部作品,10,M78星云的圣诞老公公,399128965
4,神作,10,七星关区第一深情,1666592583
5,感觉节奏有点那啥，还要很多的问题，但是还可以，敬明天,8,六陈英,689700494
6,真9.8吗？两星给制作。,4,Ice丶lemon,2964814
4,玲芽的自我救赎,10,时间行者_,2047566891
5,没有新海诚的灵魂,6,沙耶娜美,492026391
5,就是这个感情线有点离谱 女主爱上了一个板凳 就让我很难接受 你好歹让男主真身久一点 培养感情在变成板凳 很抽象,4,糖幻,178719454
6,整部电影最大看点是画面和歌,2,EeyyiiX,323535913
5,你是我的明天。,10,桶装小棒,490479874
4,跟小说挺附的,10,仙剑之奇,379210402
6,哭死了，感觉没有突兀的感情线会更好,10,漠北默喃,32441759
5,总结：恋爱脑女主和病娇猫,2,瑞比特H,487988791
4,评论的两级分化正是证明了新海诚电影境界的提高,10,-Chees-,1178175581
5,一般,6,闪耀群星之巅,504517323
5,+1,10,御坂家的打手,149238369
6,剧情一般 画面很好,6,亚瑟摩根的卡尔卡诺,104303592
5,好看,10,维兹weiz,1424415600
6,还可以吧,8,Iris彤,24343726
5,怕第一遍没看懂，看了两遍，9.8完全不值。,6,宇治银时红豆丼,412757077
5,7~8分还可以，9.8逆天,2,咲文兄,497582682
6,高中生主角+拯救世界+爱情=票房+学长,4,千树万树梨花開z,14040506
6,这个剧情编排和人物塑造一塌糊涂，只有画面和音乐还行,6,鸷鸟之不群兮-,414475607
5,9.8真的有点配不上，前面都还蛮好的，到铃芽去找门开始剧情就稀里糊涂了…说实话，后面的剧情对接上前面算得上是毁掉了整合剧情线，莫名其妙的争吵，无比违和的逃出牺牲，过渡都比较生硬，而且感情浮于表面。,6,LMX夏天一,410556970
5,和两个表妹和表弟去看了，一个表妹是补老番的资深，一个是会看点出圈作，表弟一倍速看番，我算半个老宅。俩表妹一个看完觉得挠缠，一个看完觉得不如胰脏，表弟看到一半玩手机，我在睡觉，我觉得这不是巧合,2,穷秃的qiu桑,190160862
5,你说得对，但是9.8?,4,不是道友,362212508
5,1,2,MAG1C3,386881711
5,9.8？,4,Scovir,400505198
5,当下及格的主流价值观电影吧。你懂我的意思。,6,就叫下头男,438772338
4,还不错,10,使用B站一坤年,487613885
5,蛮不错的（）,10,谁杀了知更鸟呢,400214367
6,画面和音乐依旧震撼，只是这部的剧情确实……,6,Secret•Z,1639631
5,妈呀，只有画面能看,2,初木初长,3276485
5,除了爱情线没有很好的展示，亲情，友情，都有很好的展示。还有最后在往的对话感觉升华了，前面的伏笔也都有回收,10,这货不是秋水,484689005
4,有些地方很怪，加长一点多好，把东西讲清楚,6,高木-11_05,1599626542
4,看不懂,2,呦呼噜噜啊,290341793
5,好像看见了自己……与过去和解也算是一种成长……故事还在继续，未来的路还很长很长,10,杏仁焦糖水母蛋糕,576399237
5,无论怎样，我不听别人说的，我自己看就是觉得好看！我没品味也好，浅显也罢，就是好看！,10,尤其_bgh,1808752999
6,勾石,2,通宵修仙肝帝是也,107664844
4,电影院二刷还是热泪盈眶，新海诚最喜欢的一部,10,神樂千灵,181818709
4,感觉女主好自私，理解不了,2,bili_23830478071,1112747170
6,片尾遇到儿童时期的自己的片段，很难不被小铃芽感动到哭T﹏T。,10,破晓之莫,33289803
4,好看,10,想起什么不自然,477134544
6,你永远可以相信宫崎骏,10,吃一勺星星,21477130
5,好,10,随风的痴情,54275703
5,感情线也是可以接受的,10,生吃一只骨川小夫,511970861
5,每个人的看法可能不一样吧,10,Hhjolt,1509346708
5,美好,10,TingKook,36175452
4,电影院看的！真的很震撼！,10,耳乙均,170524315
5,一如既往的好看，动人心怀，五星好评。,10,海梦鱼藏,39041683
5,和自然这种庞然大物相比，人类诚然小太多了。但你我脚下踩的土地却因你我之间的情感变得无比沉重，“难以升天”。,10,DyralJ,438680701
6,救赎自己的唯有自己,10,在UWA学神经学的老淀粉,385059994
6,我觉得这部片子不值得9.8,2,_Pray4ME_,49796744
5,除了画面 其它的太一般了,2,COTTI-COFFEE,2031423051
6,不知所谓,2,满花径,87979358
6,不要当成恋爱片来看，而是去感受人类面对灾厄时自我救赎的那股勇气。,10,昭乐_,37719293
6,我的电影票钱是花去听歌的,4,猫猫牌饭团,33184678
5,作画，配乐配音等动画质量都很优秀，单论电影的剧情逻辑是有问题的,4,治少318,1425774878
6,没意思，不知道怎么就女主愿意为了男主放弃生命了，明明女主只是喜欢男主帅，感情太突兀、生硬了，明明男主全程没有主动回应女主啊。还有，女主真的挺自私的，她父母双亡，小姨把她从四岁养大，但她只想要自由……,2,开心打工人小小,21887528
5,反正我是比较喜欢的，可能比较感性吧，最后的救赎真的升华了主题，没有它也就普通剧情，有了救赎自己，我觉得才升格成佳作！,10,伊恋花开,26146767
4,期待下一部,10,黄昏下的猪猪,1370874605
6,很不错,10,苏樱蒹葭,44629554
4,美,10,黑桃爱司,361108810
6,三星给画面 剧情撑不起来 不要跟我说原著 我评分是给电影的 其实最大的诟病就是男女主感情线 你可以写友情亲情 但是你写到男女主感情线时的问题就是撑不起来,6,爱吃橘子的貔貅,310665560
4,好看,8,流浪的夕星,442898832
5,在电影院看的，感觉其实还是不错的但是总觉得有点什么不对劲。,8,耀骑士之辉,372554994
4,一般 不如前两部,4,闪萌靓靓仔,489966890
5,不错的,8,kuwz,507994178
5,新海诚你很努力了,2,洁厕灵洗面奶,648747925
6,整体来说还行,8,墨迹青雨,280025939
5,最后半小时剧情嘣不住了，猫猫角色转变太僵硬,8,天才猪,272590
5,比天气之子强点，但七分顶天了，剧情上有很多地方经不住推敲，甚至可以说有很多硬伤，也就视听效果还不错，很多粉丝说不懂可以去看小说，但如果一部电影要去靠打补丁来补全，那就更称不上是一部好电影,6,-苦茶籽大盗-,511975040
6,音乐好听，剧情不怎么样，猫猫承受了一切,6,酱酱青柠,21328950
5,多谢款待！,10,雪ノ下雪乃のアナタ,87121621
4,好看,10,鹭衡惠,1519908296
4,喜欢,10,鲪泷,1069069046
6,世界很黑暗，但是请不要伤心，在成长的路上你会遇到爱你的人，你也会遇到你爱的人，在阳光下成长吧。,10,無進無為,160226011
4,去影院看的，看了两遍，嘿嘿,10,救赎九霄,1383487166
5,一般，凑活能看，歌好听,6,无双之光,95063179
4,啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊太好看了吧！,10,Endreaming,1898286518
6,不错的电影,10,王联鸢,28592556
6,感觉这部并没有着重于爱情。但是草铃真的好好嗑。呜呜呜。,10,碎碎零零子,31871860
5,看完感觉非常感动,10,看见我就叫我学数学,1217251370
6,是治愈人心的恋爱故事，“欢迎回来!”。,10,李小白的白啊,20927129
5,能看完就算不错的电影，看后了还有感触久久不能忘，那就是一部佳片，这部是后者。,10,一芯亿亿,316737140
6,如果去掉爱情标签我可以给他5星，但是他没有去掉,8,栗子泥丷,126359829
5,凭什么猫牺牲就是理所当然,4,溪爱睡觉的江,399580694
4,今天兴趣来了看下铃芽之旅，画风很好从一扇门到最后的大臣 左大臣之门（解铃还须系铃人）开门瞬间绝绝子啊！配音也是非常非常棒！结尾也很好首尾呼应！欢迎回来！,10,皆所遇伊人,1430813073
6,音乐，作画，新海诚IP +3⭐。 剧情，人物塑造 -2⭐。,6,请你喝好果汁,46056110
6,六年过去了怎么讲故事的能力还倒退了,6,蹦蹦大魔王-,180303372
5,好看,10,青松神1,433389069
6,很典型的两极分化风评嘛，喜欢的特别喜欢，不喜欢的觉得特别烂，全看能不能对得上电波......所以电影我就不评价了，这个五星打给新海诚本人以及团队,10,那晚的花火,38799309
6,去电影院看了三遍，真的真的特别喜欢，音效完美，结局也是我特别喜欢的结局类型,10,太子君君君,12192821
